date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:04	73508/73508	U-----	200	untouched ('OK')	image/svg+xml	etag:%22dcc5193-11f24-54f7912e15b6b%22	http://webable.digital/wp-content/plugins/formcraft3/assets/fontello/font/fc.svg?61304469	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/fontello/font/fc3003.svg	(from http://webable.digital/wp-content/plugins/formcraft3/assets/css/form.min.css?ver=3.2.26)
15:14:04	7536/7536	U-----	200	untouched ('')	application/x-font-woff	etag:%2236448fa-1d70-54d5e8b8fe664%22	http://webable.digital/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.woff?5510888	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.woff	(from http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2)
15:14:04	11968/11968	U-----	200	untouched ('')	text/plain	etag:%2236448f9-2ec0-54d5e8b8fd807%22	http://webable.digital/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.ttf?5510888	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.ttf	(from http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2)
15:14:04	12136/12136	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2236448f7-2f68-54d5e8b8fbd83%22	http://webable.digital/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.eot?5510888	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.eot	(from http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2)
15:14:07	933/933	U-----	200	untouched ('')	image/png	etag:%22dd0dc66-3a5-54d5e8c4f14a0%22	http://webable.digital/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2)
15:14:07	326/326	U-----	200	untouched ('')	application/x-123	etag:%2236448ee-146-54d5e8b8ef48a%22	http://webable.digital/wp-content/plugins/revslider/public/assets/css/closedhand.cur	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/css/closedhand.123	(from http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2)
15:14:07	13691/13691	U-----	200	untouched ('OK')	image/svg+xml	etag:%2236448f6-357b-54d5e8b8fafb9%22	http://webable.digital/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.svg?5510888	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.svg	(from http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2)
15:14:07	326/326	U-----	200	untouched ('')	application/x-123	etag:%2236448ec-146-54d5e8b8ed85a%22	http://webable.digital/wp-content/plugins/revslider/public/assets/css/openhand.cur	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/css/openhand.123	(from http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2)
15:14:07	951/951	U-----	200	untouched ('')	image/png	etag:%22dd0dc61-3b7-54d5e8c4eee4c%22	http://webable.digital/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2)
15:14:07	938/938	U-----	200	untouched ('')	image/png	etag:%22dd0dc84-3aa-54d5e8c509ee7%22	http://webable.digital/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2)
